Date,JPM,WFC,BAC,C,GS,USB,MS,KEY,PNC,COF,AXP,PRU,SCHW,TFC,KR,PFE,XOM,WMT,DAL,CSCO,IBM,EQIX,DUK,NFLX,GE,APA,F,REGN,CMS
2008-09-22,26.759716033935547,22.684574127197266,26.203012466430664,148.12643432617188,91.15652465820312,21.3824405670166,18.78960609436035,8.22327995300293,47.771026611328125,41.36088180541992,28.654165267944336,41.84246826171875,17.900632858276367,21.3317813873291,9.832345008850098,8.622457504272461,43.148860931396484,13.775369644165039,7.589636325836182,15.21509838104248,63.11283493041992,60.454429626464844,25.54303741455078,4.53000020980835,85.03626251220703,86.88311004638672,2.6480867862701416,21.68213653564453,7.273350715637207
2008-09-23,26.60230827331543,22.033308029174805,25.55081558227539,147.9783172607422,94.37923431396484,20.777629852294922,19.4207820892334,7.9918107986450195,45.29401397705078,40.806365966796875,29.41489028930664,40.20664596557617,18.21494483947754,21.859233856201172,9.795547485351562,8.593826293945312,42.497901916503906,13.660741806030273,7.720492362976074,14.964914321899414,62.65121078491211,57.82267761230469,25.116607666015625,4.50428581237793,81.13402557373047,84.84813690185547,2.5999386310577393,21.072919845581055,7.2105512619018555
2008-09-24,26.562969207763672,22.097793579101562,25.374330520629883,140.3536834716797,100.37936401367188,20.67987632751465,17.194326400756836,8.07099723815918,46.0080451965332,39.872039794921875,28.815532684326172,39.48558807373047,18.094053268432617,20.956581115722656,9.69619083404541,8.584282875061035,42.68388748168945,13.782383918762207,7.005147933959961,15.011005401611328,63.24863052368164,56.340431213378906,25.37246322631836,4.538570880889893,79.96340942382812,84.23467254638672,2.6908833980560303,20.943086624145508,7.193426132202148
2008-09-25,28.504352569580078,22.001068115234375,26.371828079223633,143.68484497070312,102.26622772216797,21.571826934814453,18.796546936035156,8.527844429016113,45.685787200927734,37.82870101928711,29.069107055664062,39.856876373291016,18.996747970581055,21.34266471862793,9.89122200012207,8.894447326660156,44.12801742553711,14.063082695007324,7.031318664550781,15.458696365356445,65.23090362548828,57.75462341308594,25.54303741455078,4.710000038146973,83.50792694091797,85.83573150634766,2.664135694503784,21.432456970214844,7.273350715637207
2008-09-26,31.63943099975586,24.05802345275879,28.159610748291016,149.16275024414062,104.14546966552734,22.384986877441406,17.166576385498047,8.954236030578613,47.70783615112305,41.43686294555664,30.35234832763672,39.5609245300293,19.60122299194336,21.995176315307617,10.248157501220703,8.903987884521484,44.1170768737793,14.201088905334473,6.935358047485352,15.682550430297852,64.85618591308594,55.569087982177734,25.62831687927246,4.695713996887207,82.10958862304688,82.20714569091797,2.573190927505493,22.68085289001465,7.376114845275879
2008-09-29,26.890905380249023,21.44008445739746,23.21057891845703,131.396484375,91.09617614746094,20.25161361694336,14.558645248413086,5.9694905281066895,42.968650817871094,33.422950744628906,25.011877059936523,34.84183120727539,17.513757705688477,16.856618881225586,9.872825622558594,8.42204761505127,40.512229919433594,13.672447204589844,6.394487380981445,14.346044540405273,62.16244125366211,49.693023681640625,25.031322479248047,4.514286041259766,75.11811828613281,73.96998596191406,2.2308120727539062,21.851917266845703,6.913681507110596
2008-09-30,30.629392623901367,24.199880599975586,26.855209350585938,151.82769775390625,96.60567474365234,22.273679733276367,15.952783584594727,7.273036956787109,47.20231628417969,38.740234375,27.22490692138672,38.7430305480957,20.955259323120117,20.55420684814453,10.112007141113281,8.799007415771484,42.48150634765625,14.009284973144531,6.499171257019043,14.852989196777344,63.52017593383789,52.528968811035156,24.77546501159668,4.411428928375244,82.92254638671875,78.01751708984375,2.781827211380005,21.801982879638672,7.119207382202148
2008-10-01,32.55109405517578,23.66468620300293,29.256853103637695,170.26026916503906,101.51145935058594,22.68180274963379,16.93769645690918,8.36337947845459,48.908443450927734,39.05925750732422,27.294422149658203,34.86872100830078,19.641521453857422,21.391603469848633,10.141443252563477,9.037593841552734,42.9847526550293,13.955480575561523,7.458780765533447,14.451387405395508,59.81083679199219,51.114776611328125,25.315603256225586,4.291429042816162,79.67069244384766,74.92761993408203,2.4340999126434326,22.790712356567383,7.182003498077393
2008-10-02,32.947662353515625,22.671676635742188,27.906404495239258,166.55889892578125,99.27742004394531,22.45301628112793,16.09844398498535,8.046629905700684,49.08537673950195,35.53467559814453,24.82293128967285,31.021324157714844,18.35197639465332,20.418270111083984,10.22239875793457,8.966022491455078,42.39397048950195,13.766007423400879,6.90046501159668,13.957602500915527,56.88357162475586,49.37541198730469,24.93182945251465,4.185713768005371,72.0287857055664,68.27653503417969,2.327106475830078,21.33258628845215,6.965062618255615
2008-10-03,30.33696174621582,22.284786224365234,26.456228256225586,135.8380889892578,96.60567474365234,21.6800479888916,16.590892791748047,7.644603252410889,46.85478591918945,34.10660934448242,23.84206771850586,30.063508987426758,18.12629508972168,19.667871475219727,10.008974075317383,9.066227912902832,42.63465881347656,13.971856117248535,6.856844902038574,13.990514755249023,56.177547454833984,46.87223434448242,24.67597198486328,4.138570785522461,70.14273071289062,67.69297790527344,2.166616201400757,20.9330997467041,6.822332859039307
